Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
pattern_,unnamed,technology_,technology_,connector_,connector_,connector_data_,unnamed,command,unnamed,unnamed
component_,component_,version,unnamed,sa,window,connector_,block,sort,connector_data_,component_
connector_data_,connector_data_,unnamed,connector_,component_,buffer,technology_,connector_,mapper,connector_,technology_
connector_,connector_,use,component_,requirement_,unnamed,unnamed,connector_data_,unnamed,requirement_,connector_
technology_,technology_,upgrade,use,support,create,requirement_,time,script,key,connector_data_
quality_attribute_,run,cve,quality_attribute_,connector_data_,requirement_,component_,component_,input,component_,directory
support,quality_attribute_,quality_attribute_,support,blob,copy,pattern_,namenode,reducer,path,use
requirement_,use,release,common,abfs,symlinks,quality_attribute_,technology_,connector_,use,quality_attribute_
group,requirement_,compression,requirement_,permission,technology_,disk,pattern_,technology_,output,need
define,resource,codec,implementation,wasb,quality_attribute_,reduce,datanode,usage,type,requirement_
use,time,compress,provide,storage,support,use,test,option,create,different
trash,cluster,connector_,configuration,use,use,run,use,connector_data_,byte,multiple
unnamed,capacity,metric,pattern_,account,userprofilelink,output,quality_attribute_,rack,provide,cluster
implementation,need,test,need,unnamed,symbolic,problem,dfs,dfs,implementation,jar
km,scheduler,support,jira,mode,symlink,cluster,datanodes,reduce,delete,mapreduce
multiple,start,build,key,quality_attribute_,default,need,delete,ip,join,pattern_
provide,pattern_,update,connector_data_,seek,behavior,issue,copy,number,specific,feature
allow,priority,fix,base,metadata,reason,memory,size,namenode,follow,allow
identity,set,component_,work,bucket,original,number,lock,checksum,instance,make
mechanism,hod,image,project,driver,component_,large,need,line,way,update
