,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
abacus,0.01,0.01,0.01,0.01,0.01,8.009999999996523,0.01,0.01,0.01,0.01,0.01
meet,0.01,2.0099999999965408,0.01,0.01,0.01,0.01,2.436088602882981,0.01,0.01,0.01,2.5839113971000742
meeting,0.01,2.0099999999955793,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
tag,0.01,1.102968340584923,4.938552482961296,4.307282898459439,0.01,0.01,0.01,0.01,0.01,0.01,25.69119627797857
syntax,0.01,0.01,0.01,2.834334598352422,0.01,0.01,0.01,0.01,0.01,9.185665401634612,0.01
memcmp,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999959617,0.01
memory,0.01,6.063882699941191,0.01,0.01,3.8005865077891543,32.50740421546374,62.268035858541246,16.318102612801244,14.923188859666999,0.01,3.188799245779226
tail,0.01,1.0099999999841902,0.01,0.01,0.01,0.01,1.0099999999937435,0.01,0.01,0.01,4.00999999999714
mention,0.01,1.4519654301627098,0.01,3.438698915537586,0.01,0.01,0.01,3.2974185249352668,0.01,0.01,1.8519171293385508
merges,0.01,1.0099999999915334,0.01,0.01,0.01,0.01,2.009999999996319,0.01,0.01,0.01,0.01
met,0.01,2.437137794942183,0.01,1.1277487453072714,0.01,0.01,1.4651134597154418,0.01,0.01,0.01,0.01
meta,0.01,0.01,4.177730604805089,0.01,0.01,0.01,2.2264043632698742,0.01,8.942416026472388,0.01,6.6934490054350855
metadata,0.01,0.01,0.01,3.0886727703018035,40.852916829426455,0.01,0.01,34.3613018370879,0.01,0.01,33.73710856316845
metadatastore,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999851645
metastore,0.01,0.01,0.01,5.592593918824648,0.01,0.01,0.01,2.427406081160346,0.01,0.01,0.01
merge,0.01,0.01,0.01,0.01,0.01,0.01,49.13603525518985,1.8077311723181135,12.732735025440396,6.36349854703996,0.01
measure,0.01,0.01,0.01,0.01,0.01,0.01,6.0642403018765165,3.9557596981041168,0.01,0.01,0.01
meant,0.01,2.285470425716393,0.01,0.01,0.01,0.01,1.0099999999917784,1.7345295742717828,0.01,0.01,0.01
meaningful,0.01,0.01,0.01,0.01,0.01,0.01,1.138928908005374,0.01,0.01,0.01,1.8810710919745413
material,0.01,0.01,0.01,2.0723978457769032,0.01,0.01,0.01,0.01,0.01,3.947602154213231,0.01
matrix,0.01,0.01,2.0099999999976776,9.009999999992134,0.01,0.01,0.01,0.01,0.01,0.01,0.01
matter,0.01,0.01,0.01,0.01,0.01,0.01,3.3259096223031985,0.01,0.01,0.01,4.694090377680806
matures,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999888767,0.01,0.01,0.01,1.0099999999951714
max,0.01,0.01,0.01,0.01,21.1006746153732,0.01,1.0705367161585864,3.8203509326052045,0.01,0.01,1.0484377358343286
maxed,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999983705
maximize,0.01,0.01,0.01,0.01,0.01,0.01,1.00999999999329,0.01,0.01,1.009999999994723,0.01
maximizes,0.01,0.01,0.01,0.01,2.009999999998921,0.01,0.01,0.01,0.01,0.01,0.01
maximum,0.01,11.106611986795771,0.01,0.01,0.01,0.01,3.913388013189299,0.01,0.01,0.01,0.01
maybe,0.01,5.119902851790478,0.01,0.01,0.01,0.01,19.644692512162585,4.714369674701789,0.01,0.01,6.561034961326725
mbean,0.01,0.01,4.009999999998242,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
mbsec,0.01,0.01,4.009999999997195,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
md,0.01,12.756650830921368,0.01,4.802467924367131,0.01,0.01,1.2120912329170812,1.2687900117596425,0.01,0.01,0.01
mean,0.01,22.291806362003328,1.4282188813833543,8.841342372014097,0.01,0.01,11.070355022646307,10.42083008290952,0.01,17.720816529211884,9.29663074981128
meaning,0.01,0.01,1.0099999999971196,0.01,0.01,0.01,0.01,1.3056989856362442,0.01,0.01,5.714301014353898
methodology,0.01,1.0099999999759568,0.01,0.01,0.01,0.01,0.01,1.0099999999965676,0.01,0.01,0.01
match,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15.65559016427249,8.93964793659364,6.434761899115778,0.01
metric,0.01,0.01,62.23466646867919,0.01,7.785333531310007,0.01,0.01,0.01,0.01,0.01,0.01
middle,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999881057,0.01,0.01,0.01,0.01
mit,0.01,0.01,0.01,2.0099999999938967,0.01,0.01,0.01,0.01,0.01,0.01,0.01
synchronization,0.01,0.01,0.01,1.0099999999814089,0.01,0.01,2.939974052695151,1.6665204724644929,0.01,0.01,4.423505474826879
